居住地_省,居住地_市,就业地_省,就业地_市,count
浙江省,金华市,安徽省,合肥市,116
安徽省,铜陵市,安徽省,合肥市,461
江苏省,镇江市,安徽省,合肥市,80
安徽省,阜阳市,安徽省,合肥市,1637
安徽省,马鞍山市,安徽省,合肥市,1303
安徽省,黄山市,安徽省,合肥市,329
上海市,上海市,浙江省,嘉兴市,4809
浙江省,丽水市,浙江省,嘉兴市,98
安徽省,亳州市,浙江省,嘉兴市,113
安徽省,六安市,浙江省,嘉兴市,79
江苏省,南京市,浙江省,嘉兴市,174
江苏省,南通市,浙江省,嘉兴市,164
浙江省,台州市,浙江省,嘉兴市,195
安徽省,合肥市,浙江省,嘉兴市,155
浙江省,宁波市,浙江省,嘉兴市,713
安徽省,安庆市,浙江省,嘉兴市,73
安徽省,宣城市,浙江省,嘉兴市,62
安徽省,宿州市,浙江省,嘉兴市,152
江苏省,宿迁市,浙江省,嘉兴市,50
江苏省,常州市,浙江省,嘉兴市,132
江苏省,徐州市,浙江省,嘉兴市,95
江苏省,扬州市,浙江省,嘉兴市,64
江苏省,无锡市,浙江省,嘉兴市,286
浙江省,杭州市,浙江省,嘉兴市,6011
安徽省,池州市,浙江省,嘉兴市,33
江苏省,泰州市,浙江省,嘉兴市,88
安徽省,淮北市,浙江省,嘉兴市,34
安徽省,淮南市,浙江省,嘉兴市,35
江苏省,淮安市,浙江省,嘉兴市,61
浙江省,温州市,浙江省,嘉兴市,251
浙江省,湖州市,浙江省,嘉兴市,986
安徽省,滁州市,浙江省,嘉兴市,68
江苏省,盐城市,浙江省,嘉兴市,105
浙江省,绍兴市,浙江省,嘉兴市,460
浙江省,舟山市,浙江省,嘉兴市,86
安徽省,芜湖市,浙江省,嘉兴市,81
江苏省,苏州市,浙江省,嘉兴市,2097
安徽省,蚌埠市,浙江省,嘉兴市,65
浙江省,衢州市,浙江省,嘉兴市,79
江苏省,连云港市,浙江省,嘉兴市,39
浙江省,金华市,浙江省,嘉兴市,287
安徽省,铜陵市,浙江省,嘉兴市,19
江苏省,镇江市,浙江省,嘉兴市,36
安徽省,阜阳市,浙江省,嘉兴市,209
安徽省,马鞍山市,浙江省,嘉兴市,31
安徽省,黄山市,浙江省,嘉兴市,32
上海市,上海市,浙江省,宁波市,2133
浙江省,丽水市,浙江省,宁波市,113
安徽省,亳州市,浙江省,宁波市,247
安徽省,六安市,浙江省,宁波市,81
江苏省,南京市,浙江省,宁波市,231
江苏省,南通市,浙江省,宁波市,152
浙江省,台州市,浙江省,宁波市,1420
安徽省,合肥市,浙江省,宁波市,250
浙江省,嘉兴市,浙江省,宁波市,525
安徽省,安庆市,浙江省,宁波市,74
安徽省,宣城市,浙江省,宁波市,61
安徽省,宿州市,浙江省,宁波市,196
江苏省,宿迁市,浙江省,宁波市,70
江苏省,常州市,浙江省,宁波市,150
江苏省,徐州市,浙江省,宁波市,136
江苏省,扬州市,浙江省,宁波市,88
江苏省,无锡市,浙江省,宁波市,283
浙江省,杭州市,浙江省,宁波市,2050
安徽省,池州市,浙江省,宁波市,43
江苏省,泰州市,浙江省,宁波市,53
安徽省,淮北市,浙江省,宁波市,74
安徽省,淮南市,浙江省,宁波市,50
江苏省,淮安市,浙江省,宁波市,52
浙江省,温州市,浙江省,宁波市,436
浙江省,湖州市,浙江省,宁波市,320
安徽省,滁州市,浙江省,宁波市,116
江苏省,盐城市,浙江省,宁波市,102
浙江省,绍兴市,浙江省,宁波市,1323
浙江省,舟山市,浙江省,宁波市,440
安徽省,芜湖市,浙江省,宁波市,82
江苏省,苏州市,浙江省,宁波市,910
安徽省,蚌埠市,浙江省,宁波市,141
浙江省,衢州市,浙江省,宁波市,158
江苏省,连云港市,浙江省,宁波市,68
浙江省,金华市,浙江省,宁波市,641
安徽省,铜陵市,浙江省,宁波市,11
江苏省,镇江市,浙江省,宁波市,63
安徽省,阜阳市,浙江省,宁波市,390
安徽省,马鞍山市,浙江省,宁波市,40
安徽省,黄山市,浙江省,宁波市,33
上海市,上海市,安徽省,安庆市,368
浙江省,丽水市,安徽省,安庆市,4
安徽省,亳州市,安徽省,安庆市,24
安徽省,六安市,安徽省,安庆市,1430
江苏省,南京市,安徽省,安庆市,96
江苏省,南通市,安徽省,安庆市,19
浙江省,台州市,安徽省,安庆市,17
安徽省,合肥市,安徽省,安庆市,1023
浙江省,嘉兴市,安徽省,安庆市,39
浙江省,宁波市,安徽省,安庆市,83
安徽省,宣城市,安徽省,安庆市,19
安徽省,宿州市,安徽省,安庆市,25
江苏省,宿迁市,安徽省,安庆市,7
江苏省,常州市,安徽省,安庆市,32
江苏省,徐州市,安徽省,安庆市,17
江苏省,扬州市,安徽省,安庆市,14
江苏省,无锡市,安徽省,安庆市,33
浙江省,杭州市,安徽省,安庆市,162
安徽省,池州市,安徽省,安庆市,8320
江苏省,泰州市,安徽省,安庆市,12
安徽省,淮北市,安徽省,安庆市,14
安徽省,淮南市,安徽省,安庆市,24
江苏省,淮安市,安徽省,安庆市,38
浙江省,温州市,安徽省,安庆市,45
浙江省,湖州市,安徽省,安庆市,153
安徽省,滁州市,安徽省,安庆市,20
江苏省,盐城市,安徽省,安庆市,7
浙江省,绍兴市,安徽省,安庆市,19
浙江省,舟山市,安徽省,安庆市,8
安徽省,芜湖市,安徽省,安庆市,109
江苏省,苏州市,安徽省,安庆市,124
